,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Percentage of rape,Percentage of Kidnapping and Abduction,Percentage of Dowry Deaths,Percentage of Assault on women with intent to outrage her modesty,Percentage of Insult to modesty of Women,Percentage of Cruelty by Husband or his Relatives,Percentage of Importation of Girls,Rape w.r.t National Average (In %),Kidnapping and abduction w.r.t National Average (In %),Dowry Deaths w.r.t National Average (In %),Assault on women with intent to outrage her modesty w.r.t National Average (In %),Insult to modesty of Women w.r.t National Average (In %),Cruelty by Husband or his Relatives w.r.t National Average (In %),Importation of Girls w.r.t National Average (In %)
3036,sikkim,Total District(s),2014,47,12,0,34,3,5,0,0.6103896103896104,0.15584415584415584,0.0,0.44155844155844154,0.03896103896103896,0.06493506493506493,0.0,95.39403838301348,99.24621800352463,100.0,98.51158265945156,98.89060092449922,99.853512048634,100.0
3079,tamil nadu,Total District(s),2014,455,1502,95,1102,229,2103,0,5.909090909090909,19.506493506493506,1.2337662337662338,14.311688311688311,2.9740259740259742,27.31168831168831,0.0,55.41037158023683,5.6516201078326995,59.55056179775281,51.75776737398918,15.315870570107865,38.38716765546034,100.0
3093,telangana,Total District(s),2014,979,711,289,3188,1142,6369,0,12.714285714285714,9.233766233766234,3.7532467532467533,41.4025974025974,14.831168831168831,82.71428571428571,0.0,4.0587995100040795,55.338416708834245,23.05144884683619,39.56101416671733,322.31124807395986,86.59635245001098,100.0
3103,tripura,Total District(s),2014,239,102,33,492,11,702,0,3.103896103896104,1.3246753246753247,0.42857142857142855,6.3896103896103895,0.14285714285714285,9.116883116883116,0.0,76.57819518170682,93.59285302995934,85.94914251921941,78.46172554265216,95.9322033898305,79.43309162821357,100.0
3180,uttar pradesh,Total District(s),2014,3467,10626,2469,8605,29,10471,0,45.02597402597402,138.0,32.064935064935064,111.75324675324676,0.37662337662337664,135.98701298701297,0.0,239.76316864026134,567.4739578789412,951.2596096984032,276.70091810056545,89.27580893682588,206.7750677506775,100.0
3194,uttarakhand,Total District(s),2014,270,275,38,343,4,301,0,3.5064935064935066,3.5714285714285716,0.4935064935064935,4.454545454545454,0.05194805194805195,3.909090909090909,0.0,73.54022049816251,82.7258292474394,83.82022471910112,84.98449565270262,98.52080123266565,91.1814253277668,100.0
3225,west bengal,Total District(s),2014,1466,4976,501,5670,543,23278,4,19.038961038961038,64.62337662337663,6.5064935064935066,73.63636363636364,7.0519480519480515,302.31168831168833,0.05194805194805195,43.66680277664353,212.5682678717873,113.31756357185098,148.21548002675257,100.80123266563943,581.9893063795503,1007.6923076923076
3229,a & n islands,Total District(s),2014,32,17,3,41,5,14,0,0.4155844155844156,0.22077922077922077,0.03896103896103896,0.5324675324675324,0.06493506493506493,0.18181818181818182,0.0,96.86402613311556,98.93214217165989,98.72264931992903,98.20514379522102,98.15100154083206,99.58983373617521,100.0
3231,chandigarh,Total District(s),2014,59,133,2,87,2,141,0,0.7662337662337663,1.7272727272727273,0.025974025974025976,1.12987012987013,0.025974025974025976,1.8311688311688312,0.0,94.21804818293181,91.64558287239797,99.14843287995268,96.19140268742021,99.26040061633282,95.8690397714788,100.0
3233,d&n haveli,Total District(s),2014,5,7,0,2,1,6,0,0.06493506493506493,0.09090909090909091,0.0,0.025974025974025976,0.012987012987012988,0.07792207792207792,0.0,99.51000408329931,99.56029383538937,100.0,99.91244603879127,99.63020030816641,99.8242144583608,100.0
3236,daman & diu,Total District(s),2014,2,1,0,3,0,1,0,0.025974025974025976,0.012987012987012988,0.0,0.03896103896103896,0.0,0.012987012987012988,0.0,99.80400163331973,99.93718483362706,100.0,99.8686690581869,100.0,99.9707024097268,100.0
3256,delhi ut,Total District(s),2014,2096,4034,153,4322,1361,3173,0,27.22077922077922,52.38961038961039,1.9870129870129871,56.12987012987013,17.675324675324674,41.20779220779221,0.0,105.40628828093102,153.39638114847062,34.85511531638084,89.20411017206784,403.2973805855161,7.0387460631363075,100.0
3258,lakshadweep,Total District(s),2014,1,0,0,1,2,0,0,0.012987012987012988,0.0,0.0,0.012987012987012988,0.025974025974025976,0.0,0.0,99.90200081665986,100.0,100.0,99.95622301939562,99.26040061633282,100.0,100.0
3261,puducherry,Total District(s),2014,10,7,1,32,8,4,0,0.12987012987012986,0.09090909090909091,0.012987012987012988,0.4155844155844156,0.1038961038961039,0.05194805194805195,0.0,99.02000816659861,99.56029383538937,99.57421643997635,98.5991366206603,97.04160246533128,99.8828096389072,100.0
