,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Percentage of rape,Percentage of Kidnapping and Abduction,Percentage of Dowry Deaths,Percentage of Assault on women with intent to outrage her modesty,Percentage of Insult to modesty of Women,Percentage of Cruelty by Husband or his Relatives,Percentage of Importation of Girls,Rape w.r.t National Average (In %),Kidnapping and abduction w.r.t National Average (In %),Dowry Deaths w.r.t National Average (In %),Assault on women with intent to outrage her modesty w.r.t National Average (In %),Insult to modesty of Women w.r.t National Average (In %),Cruelty by Husband or his Relatives w.r.t National Average (In %),Importation of Girls w.r.t National Average (In %)
824,andhra pradesh,TOTAL,2012,1341,1403,504,4816,3714,13389,0,17.415584415584416,18.22077922077922,6.545454545454546,62.54545454545455,48.23376623376623,173.88311688311688,0.0,88.27270099516869,32.131183867929764,111.58167675021606,266.9415561133023,,335.44795393239076,100.0
842,arunachal pradesh,TOTAL,2012,46,58,1,67,2,26,0,0.5974025974025974,0.7532467532467533,0.012987012987012988,0.8701298701298701,0.025974025974025976,0.33766233766233766,0.0,93.54172688607176,94.53769874245194,99.58019508581306,94.89512370025098,,99.15440684126953,100.0
875,assam,TOTAL,2012,1716,3360,140,1840,5,6407,2,22.285714285714285,43.63636363636363,1.8181818181818181,23.896103896103895,0.06493506493506493,83.20779220779221,0.025974025974025976,140.92166659784448,216.43676250623236,41.22731201382887,40.193617784152025,,108.3736679994643,15.254237288135588
920,bihar,TOTAL,2012,927,3789,1275,118,37,3686,4,12.03896103896104,49.20779220779221,16.558441558441558,1.5324675324675325,0.4805194805194805,47.87012987012987,0.05194805194805195,30.148242969814596,256.8389562905102,435.25126558834415,91.00932233775548,,19.8790916569417,130.50847457627117
949,chhattisgarh,TOTAL,2012,1034,350,81,1601,162,980,0,13.428571428571429,4.545454545454546,1.051948051948052,20.792207792207794,2.103896103896104,12.727272727272727,0.0,45.17074782177809,67.03783723893413,65.99580195085814,21.983685908927928,,68.12764247862103,100.0
952,goa,TOTAL,2012,55,16,0,49,16,24,0,0.7142857142857143,0.2077922077922078,0.0,0.6363636363636364,0.2077922077922078,0.3116883116883117,0.0,92.27815171160755,98.49315827377984,100.0,96.26658300466117,,99.21945246886419,100.0
987,gujarat,TOTAL,2012,473,1527,21,745,93,6658,0,6.142857142857143,19.83116883116883,0.2727272727272727,9.675324675324676,1.2077922077922079,86.46753246753246,0.0,33.59210471982492,43.809207246135955,91.18409680207434,43.2368232341341,,116.53689426259302,100.0
1011,haryana,TOTAL,2012,668,900,258,525,434,3137,0,8.675324675324676,11.688311688311689,3.3506493506493507,6.818181818181818,5.636363636363637,40.74025974025974,0.0,6.214642606433495,15.240152900116332,8.309667860229652,59.99910362136966,,2.024066882210014,100.0
1027,himachal pradesh,TOTAL,2012,183,152,2,250,68,251,0,2.3766233766233764,1.974025974025974,0.025974025974025976,3.2467532467532467,0.8831168831168831,3.25974025974026,0.0,74.3073047858942,85.68500360090854,99.16039017162612,80.95195410541413,,91.83677373687131,100.0
1058,jammu & kashmir,TOTAL,2012,303,1041,8,1322,347,301,0,3.935064935064935,13.519480519480519,0.1038961038961039,17.16883116883117,4.5064935064935066,3.909090909090909,0.0,57.45963579303795,1.9611101878012238,96.6415606865045,0.7260666905700948,,90.21063304700503,100.0
1085,jharkhand,TOTAL,2012,812,786,302,284,10,1261,3,10.545454545454545,10.207792207792208,3.9220779220779223,3.688311688311688,0.12987012987012986,16.376623376623378,0.03896103896103896,14.002560184994014,25.97640019943493,26.781084084454864,78.36141986375044,,58.988731801572584,72.88135593220339
1121,karnataka,TOTAL,2012,621,1070,218,2978,100,3684,32,8.064935064935066,13.896103896103897,2.831168831168831,38.675324675324674,1.2987012987012987,47.84415584415584,0.4155844155844156,12.813312961968862,0.7700404409728057,8.482528707247813,126.90032269630692,,19.81404602934705,1744.0677966101696
1142,kerala,TOTAL,2012,1019,214,32,3735,498,5216,0,13.233766233766234,2.779220779220779,0.4155844155844156,48.506493506493506,6.467532467532467,67.74025974025975,0.0,43.06478919767106,79.84599191180544,86.56624274601803,184.57780566511295,,69.63899676684967,100.0
1196,madhya pradesh,TOTAL,2012,3425,1127,743,6655,774,3988,6,44.48051948051948,14.636363636363637,9.64935064935065,86.42857142857143,10.051948051948052,51.79220779220779,0.07792207792207792,380.860552504439,6.138164090632105,211.91505124089392,407.05898171387594,,29.700981423733992,245.76271186440678
1242,maharashtra,TOTAL,2012,1839,1140,329,3935,1294,7415,0,23.883116883116884,14.805194805194805,4.2727272727272725,51.103896103896105,16.805194805194805,96.2987012987013,0.0,158.19052731552216,7.36247299318598,38.11581676750215,199.81624238078163,,141.1566643071684,100.0
1253,manipur,TOTAL,2012,63,133,0,49,1,43,0,0.8181818181818182,1.7272727272727273,0.0,0.6363636363636364,0.012987012987012988,0.5584415584415584,0.0,91.15497377875047,87.47437815079498,100.0,96.26658300466117,,98.601519006715,100.0
1261,meghalaya,TOTAL,2012,164,24,1,43,0,16,0,2.1298701298701297,0.3116883116883117,0.012987012987012988,0.5584415584415584,0.0,0.2077922077922078,0.0,76.97485237642978,97.73973741066978,99.58019508581306,96.72373610613123,,99.47963497924279,100.0
1270,mizoram,TOTAL,2012,103,3,0,85,0,8,0,1.3376623376623376,0.03896103896103896,0.0,1.103896103896104,0.0,0.1038961038961039,0.0,85.53908411446504,99.71746717633371,100.0,93.5236643958408,,99.7398174896214,100.0
1282,nagaland,TOTAL,2012,21,10,0,16,0,0,0,0.2727272727272727,0.12987012987012986,0.0,0.2077922077922078,0.0,0.0,0.0,97.05165792625016,99.0582239211124,100.0,98.7809250627465,,100.0,100.0
1319,odisha,TOTAL,2012,1458,1364,525,4187,304,2638,0,18.935064935064936,17.714285714285715,6.818181818181818,54.37662337662338,3.948051948051948,34.25974025974026,0.0,104.69917826320354,28.458257160268136,120.39757994814173,219.01667264252418,,14.204817202655398,100.0
1348,punjab,TOTAL,2012,680,689,118,340,31,1293,0,8.831168831168831,8.948051948051948,1.5324675324675325,4.415584415584416,0.4025974025974026,16.792207792207794,0.0,4.52987570714787,35.111628164644614,50.46302012594147,74.09465758336322,,57.94800176005816,100.0
1391,rajasthan,TOTAL,2012,2049,2697,478,2352,18,13312,0,26.61038961038961,35.02597402597402,6.207792207792208,30.545454545454547,0.23376623376623376,172.88311688311688,0.0,187.6739480530206,153.99700847598473,100.66674898135571,79.20401577626389,,332.94369726999673,100.0
1396,sikkim,TOTAL,2012,34,10,1,19,0,4,0,0.44155844155844154,0.12987012987012986,0.012987012987012988,0.24675324675324675,0.0,0.05194805194805195,0.0,95.22649378535739,99.0582239211124,99.58019508581306,98.55234851201148,,99.8699087448107,100.0
1436,tamil nadu,TOTAL,2012,737,1693,110,1494,382,1965,0,9.571428571428571,21.98701298701299,1.4285714285714286,19.4025974025974,4.961038961038961,25.51948051948052,0.0,3.472767064458853,59.44269015567005,53.82145943943697,13.831122266045176,,36.09267088825544,100.0
1446,tripura,TOTAL,2012,229,114,37,314,7,858,0,2.9740259740259742,1.4805194805194806,0.4805194805194805,4.077922077922078,0.09090909090909091,11.142857142857142,0.0,67.84903167196597,89.2637527006814,84.46721817508335,76.07565435640015,,72.09542576189475,100.0
1523,uttar pradesh,TOTAL,2012,1963,7910,2244,3247,8,7661,0,25.493506493506494,102.72727272727273,29.142857142857142,42.16883116883117,0.1038961038961039,99.49350649350649,0.0,175.59978527480695,644.9448784000887,842.0422274354858,147.3960200788813,,149.15727650131046,100.0
1537,uttarakhand,TOTAL,2012,148,256,71,139,73,368,0,1.922077922077922,3.324675324675325,0.922077922077922,1.8051948051948052,0.948051948051948,4.779220779220779,0.0,79.22120824214394,75.89053238047754,70.1938510927275,89.40928648261026,,88.03160452258423,100.0
1567,west bengal,TOTAL,2012,2046,4168,593,3345,556,19865,12,26.571428571428573,54.12987012987013,7.701298701298701,43.44155844155844,7.220779220779221,257.987012987013,0.15584415584415584,187.2527563281992,292.5322696803501,148.9443141128534,154.86285406955898,,546.0656960838705,591.5254237288136
1571,a & n islands,TOTAL,2012,12,7,2,17,4,5,0,0.15584415584415584,0.09090909090909091,0.025974025974025976,0.22077922077922077,0.05194805194805195,0.06493506493506493,0.0,98.31523310071437,99.34075674477867,99.16039017162612,98.70473287916816,,99.83738593101337,100.0
1573,chandigarh,TOTAL,2012,27,66,5,45,25,73,0,0.35064935064935066,0.8571428571428571,0.06493506493506493,0.5844155844155844,0.3246753246753247,0.948051948051948,0.0,96.20927447660735,93.78427787934186,97.90097542906531,96.57135173897454,,97.62583459279523,100.0
1575,d & n haveli,TOTAL,2012,3,9,0,2,0,0,0,0.03896103896103896,0.11688311688311688,0.0,0.025974025974025976,0.0,0.0,0.0,99.5788082751786,99.15240152900117,100.0,99.84761563284331,,100.0,100.0
1578,daman & diu,TOTAL,2012,5,0,0,0,0,3,0,0.06493506493506493,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,99.29801379196432,100.0,100.0,100.0,,99.90243155860801,100.0
1598,lakshadweep,TOTAL,2012,0,0,0,1,0,1,0,0.0,0.0,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,100.0,100.0,100.0,99.92380781642166,,99.96747718620267,100.0
1601,puducherry,TOTAL,2012,13,16,0,9,2,6,0,0.16883116883116883,0.2077922077922078,0.0,0.11688311688311688,0.025974025974025976,0.07792207792207792,0.0,98.17483585910723,98.49315827377984,100.0,99.3142703477949,,99.80486311721604,100.0
