,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Percentage of rape,Percentage of Kidnapping and Abduction,Percentage of Dowry Deaths,Percentage of Assault on women with intent to outrage her modesty,Percentage of Insult to modesty of Women,Percentage of Cruelty by Husband or his Relatives,Percentage of Importation of Girls,Rape w.r.t National Average (In %),Kidnapping and abduction w.r.t National Average (In %),Dowry Deaths w.r.t National Average (In %),Assault on women with intent to outrage her modesty w.r.t National Average (In %),Insult to modesty of Women w.r.t National Average (In %),Cruelty by Husband or his Relatives w.r.t National Average (In %),Importation of Girls w.r.t National Average (In %)
1635,andhra pradesh,ZZ TOTAL,2013,1635,1595,492,6930,4702,15084,0,21.233766233766232,20.714285714285715,6.3896103896103895,90.0,61.064935064935064,,0.0,65.00445235975066,4.578062326442452,106.97847067557534,233.1401020826559,1170.7098004928066,331.4863113967928,100.0
1654,arunachal pradesh,ZZ TOTAL,2013,75,86,0,93,3,29,0,0.974025974025974,1.1168831168831168,0.0,1.2077922077922079,0.03896103896103896,,0.0,92.43098842386465,94.36130823819808,100.0,95.52928867334964,99.1892536364359,99.1704386747211,100.0
1688,assam,ZZ TOTAL,2013,1937,4222,170,2409,14,8636,2,25.155844155844157,54.83116883116883,2.207792207792208,31.285714285714285,0.18181818181818182,,0.025974025974025976,95.48233897298903,176.82042579450788,28.48304875030933,15.805845009685138,96.21651697003418,147.03764155546955,119.35483870967745
1733,bihar,ZZ TOTAL,2013,1128,4419,1182,331,52,4533,7,14.64935064935065,57.38961038961039,15.35064935064935,4.298701298701299,0.6753246753246753,,0.09090909090909091,13.837934105075691,189.73696390003084,397.2531551596139,84.08811345030894,85.94706303155552,29.669016809974924,667.7419354838709
1762,chhattisgarh,ZZ TOTAL,2013,1380,1881,109,2261,180,1181,1,17.92207792207792,24.428571428571427,1.4155844155844155,29.363636363636363,2.3376623376623376,,0.012987012987012988,39.26981300089047,23.32999074359765,54.145013610492455,8.691164618886715,51.35521818615372,66.21683016709015,9.677419354838712
1765,goa,ZZ TOTAL,2013,86,70,0,162,54,40,0,1.1168831168831168,0.9090909090909091,0.0,2.103896103896104,0.7012987012987013,,0.0,91.32086672603147,95.41036717062636,100.0,92.21230930196388,85.40656545584612,98.85577748237392,100.0
1800,gujarat,ZZ TOTAL,2013,732,2230,29,1243,77,7812,0,9.506493506493506,28.961038961038962,0.37662337662337664,16.142857142857142,1.0,,0.0,26.12644701691897,46.212588707189134,87.80004949269983,40.24629915025379,79.19084333518798,123.4666576923724,100.0
1825,haryana,ZZ TOTAL,2013,971,1957,263,1560,643,3617,2,12.61038961038961,25.415584415584416,3.4155844155844157,20.25974025974026,8.35064935064935,,0.025974025974025976,2.006530127634312,28.3130206726319,10.640930462756739,25.007422907800407,73.7699705905731,3.46632115633781,119.35483870967745
1841,himachal pradesh,ZZ TOTAL,2013,250,290,0,493,111,328,0,3.2467532467532467,3.7662337662337664,0.0,6.402597402597403,1.4415584415584415,,0.0,74.76996141288215,80.98580684973774,100.0,76.30042275227282,70.00238454812813,90.6173753554662,100.0
1872,jammu & kashmir,ZZ TOTAL,2013,378,949,7,1389,354,428,0,4.909090909090909,12.324675324675324,0.09090909090909091,18.038961038961038,4.597402597402597,,0.0,61.85218165627783,37.777692070348664,97.05518436030685,33.227763089060744,4.3319290994356505,87.756819061401,100.0
1899,jharkhand,ZZ TOTAL,2013,1204,926,307,524,18,2084,2,15.636363636363637,12.025974025974026,3.987012987012987,6.805194805194805,0.23376623376623376,,0.025974025974025976,21.507865835559514,39.28571428571429,29.151200197970795,74.81018564338937,95.13552181861537,40.386006831681506,119.35483870967745
1935,karnataka,ZZ TOTAL,2013,1030,1359,277,3913,137,3276,0,13.376623376623376,17.649350649350648,3.5974025974025974,50.81818181818182,1.7792207792207793,,0.0,3.9477589789254983,10.895556926874425,16.53056174214303,88.10638087293398,62.97591606390589,6.288175806424477,100.0
1956,kerala,ZZ TOTAL,2013,1221,185,21,4362,404,4820,0,15.857142857142858,2.4025974025974026,0.2727272727272727,56.64935064935065,5.246753246753247,,0.0,23.223508459483526,87.87025609379822,91.16555308092057,109.69078286934271,9.180510293299427,37.87881337394201,100.0
2011,madhya pradesh,ZZ TOTAL,2013,4335,2873,776,8252,736,4988,7,56.298701298701296,37.311688311688314,10.077922077922079,107.16883116883118,9.558441558441558,,0.09090909090909091,337.4888691006233,88.37164455414994,226.4538480574115,296.69150395181475,98.90310786106035,42.684547947971524,667.7419354838709
2057,maharashtra,ZZ TOTAL,2013,3063,1874,320,8132,2632,8542,0,39.77922077922078,24.337662337662337,4.1558441558441555,105.6103896103896,34.18181818181818,,0.0,209.11843276936776,22.871027460660283,34.62014352882949,290.9228441754917,611.2948096335745,144.34871863904826,100.0
2068,manipur,ZZ TOTAL,2013,72,125,0,59,0,29,0,0.935064935064935,1.6233766233766234,0.0,0.7662337662337663,0.0,,0.0,92.73374888691006,91.8042270904042,100.0,97.16374227664117,100.0,99.1704386747211,100.0
2080,meghalaya,ZZ TOTAL,2013,183,33,2,98,0,23,0,2.3766233766233764,0.42857142857142855,0.025974025974025976,1.2727272727272727,0.0,,0.0,81.53161175422974,97.83631595186671,99.15862410294481,95.28892784933618,100.0,99.34207205236501,100.0
2091,mizoram,ZZ TOTAL,2013,89,2,0,81,0,5,0,1.155844155844156,0.025974025974025976,0.0,1.051948051948052,0.0,,0.0,91.01810626298605,99.86886763344647,100.0,96.10615465098195,100.0,99.85697218529674,100.0
2103,nagaland,ZZ TOTAL,2013,31,11,1,18,1,4,0,0.4025974025974026,0.14285714285714285,0.012987012987012988,0.23376623376623376,0.012987012987012988,,0.0,96.87147521519739,99.27877198395556,99.57931205147241,99.13470103355154,99.7297512121453,99.8855777482374,100.0
2140,odisha,ZZ TOTAL,2013,1832,2067,395,4618,426,2792,0,23.792207792207794,26.844155844155843,5.12987012987013,59.97402597402598,5.532467532467533,,0.0,84.88572276639952,35.52530083307621,66.1717396683989,121.99725705883186,15.125983626102862,20.133268269699983,100.0
2169,punjab,ZZ TOTAL,2013,888,987,126,1045,67,1741,0,11.532467532467532,12.818181818181818,1.6363636363636365,13.571428571428571,0.8701298701298701,,0.0,10.382902938557436,35.286177105831534,46.99331848552339,49.76458778118681,81.893331213735,50.1977149203251,100.0
2213,rajasthan,ZZ TOTAL,2013,3285,4047,453,4829,25,15094,1,42.66233766233766,52.55844155844156,5.883116883116883,62.714285714285715,0.3246753246753247,,0.012987012987012988,231.52270703472843,165.34634372107377,90.57164068299925,132.1404838321999,93.24378030363246,331.7723670261993,9.677419354838712
2218,sikkim,ZZ TOTAL,2013,43,16,0,29,0,5,0,0.5584415584415584,0.2077922077922078,0.0,0.37662337662337664,0.0,,0.0,95.66043336301573,98.95094106757173,100.0,98.60590722072193,100.0,99.85697218529674,100.0
2258,tamil nadu,ZZ TOTAL,2013,923,1516,118,1271,313,2471,0,11.987012987012987,19.68831168831169,1.5324675324675325,16.506493506493506,4.064935064935065,,0.0,6.850697536360937,0.6016661524220963,50.35882207374412,38.90027853577841,15.412129401478413,29.31565397364923,100.0
2268,tripura,ZZ TOTAL,2013,233,124,29,407,7,827,0,3.0259740259740258,1.6103896103896105,0.37662337662337664,5.285714285714286,0.09090909090909091,,0.0,76.48560403680618,91.86979327368097,87.80004949269983,80.43462892530434,98.10825848501709,76.3431994480809,100.0
2345,uttar pradesh,ZZ TOTAL,2013,3050,9737,2335,7303,25,8781,0,39.61038961038961,126.45454545454545,30.324675324675326,94.84415584415585,0.3246753246753247,,0.0,207.80647076283762,538.4179265658746,882.3063598119278,251.07101955406,93.24378030363246,151.18544818186405,100.0
2359,uttarakhand,ZZ TOTAL,2013,228,633,43,295,72,435,0,2.961038961038961,8.220779220779221,0.5584415584415584,3.831168831168831,0.935064935064935,,0.0,76.99020480854854,58.49660598580685,81.91041821331353,85.81871138320585,80.5420872744615,87.55658012081643,100.0
2389,west bengal,ZZ TOTAL,2013,1685,3830,481,4913,577,18116,9,21.883116883116884,49.74025974025974,6.246753246753247,63.8051948051948,7.4935064935064934,,0.11688311688311688,70.05046007717424,151.11848195001542,102.35090324177183,136.17854567562603,55.933550592162796,418.2183782328492,887.0967741935484
2393,a&n islands,ZZ TOTAL,2013,27,12,1,45,8,9,0,0.35064935064935066,0.15584415584415584,0.012987012987012988,0.5844155844155844,0.1038961038961039,,0.0,97.27515583259128,99.21320580067881,99.57931205147241,97.83675258387886,97.83800969716239,99.74254993353414,100.0
2395,chandigarh,ZZ TOTAL,2013,45,174,1,143,26,92,0,0.5844155844155844,2.25974025974026,0.012987012987012988,1.8571428571428572,0.33766233766233766,,0.0,95.45859305431878,88.59148410984264,99.57931205147241,93.12568043321504,92.97353151577776,97.36828820946003,100.0
2397,d&n haveli,ZZ TOTAL,2013,5,11,0,1,1,1,0,0.06493506493506493,0.14285714285714285,0.0,0.012987012987012988,0.012987012987012988,,0.0,99.49539922825764,99.27877198395556,100.0,99.95192783519731,99.7297512121453,99.97139443705935,100.0
2400,daman & diu,ZZ TOTAL,2013,8,6,0,2,0,2,0,0.1038961038961039,0.07792207792207792,0.0,0.025974025974025976,0.0,,0.0,99.19263876521222,99.6066029003394,100.0,99.90385567039462,100.0,99.94278887411869,100.0
2419,delhi ut,ZZ TOTAL,2013,1636,3609,144,3515,916,3033,0,21.246753246753247,46.87012987012987,1.87012987012987,45.64935064935065,11.896103896103897,,0.0,65.10537251409913,136.62835544585005,39.42093541202673,68.97365928146255,147.54788967490663,13.23932760100288,100.0
2421,lakshadweep,ZZ TOTAL,2013,2,0,0,1,0,0,0,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,,0.0,99.79815969130306,100.0,100.0,99.95192783519731,100.0,100.0,100.0
