,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Percentage of rape,Percentage of Kidnapping and Abduction,Percentage of Dowry Deaths,Percentage of Assault on women with intent to outrage her modesty,Percentage of Insult to modesty of Women,Percentage of Cruelty by Husband or his Relatives,Percentage of Importation of Girls,Rape w.r.t National Average (In %),Kidnapping and abduction w.r.t National Average (In %),Dowry Deaths w.r.t National Average (In %),Assault on women with intent to outrage her modesty w.r.t National Average (In %),Insult to modesty of Women w.r.t National Average (In %),Cruelty by Husband or his Relatives w.r.t National Average (In %),Importation of Girls w.r.t National Average (In %)
33,andhra pradesh,TOTAL,2011,1442,1612,599,4849,3658,13376,0,18.727272727272727,20.935064935064936,7.779220779220779,62.97402597402598,47.506493506493506,173.71428571428572,0.0,107.44689853600744,63.703703703703695,140.2784332232185,289.6528089622084,1379.210275927688,366.1582615826158,100.0
51,arunachal pradesh,TOTAL,2011,42,60,0,51,0,18,0,0.5454545454545454,0.7792207792207793,0.0,0.6623376623376623,0.0,0.23376623376623376,0.0,93.95785732419397,93.9068100358423,100.0,95.9017749521401,100.0,99.37269372693727,100.0
82,assam,TOTAL,2011,1700,3192,121,1193,8,5246,2,22.07792207792208,41.45454545454545,1.5714285714285714,15.493506493506494,0.1038961038961039,68.12987012987013,0.025974025974025976,144.56291783024454,224.15770609318994,51.46295422369042,4.1336768216303135,96.76498572787821,82.8249282492825,15.000000000000002
127,bihar,TOTAL,2011,934,3050,1413,790,11,2607,10,12.12987012987013,39.61038961038961,18.350649350649352,10.25974025974026,0.14285714285714285,33.857142857142854,0.12987012987012986,34.36574426673437,209.73715651135004,466.80037753657393,36.51769043511144,95.55185537583255,9.145141451414517,324.99999999999994
150,chhattisgarh,TOTAL,2011,1053,365,104,1654,174,834,2,13.675324675324676,4.740259740259741,1.3506493506493507,21.48051948051948,2.25974025974026,10.831168831168831,0.025974025974025976,51.48514851485149,62.93309438470729,58.282208588957054,32.91106331686795,29.63843958135109,70.93480934809348,15.000000000000002
153,goa,TOTAL,2011,29,17,1,29,12,18,0,0.37662337662337664,0.22077922077922077,0.012987012987012988,0.37662337662337664,0.15584415584415584,0.23376623376623376,0.0,95.82804434289582,98.27359617682198,99.59886739027843,97.66963673749143,95.14747859181732,99.37269372693727,100.0
188,gujarat,TOTAL,2011,439,1442,30,685,93,6052,0,5.701298701298701,18.727272727272727,0.38961038961038963,8.896103896103897,1.2077922077922079,78.59740259740259,0.0,36.84522298383685,46.43966547192353,87.966021708353,44.95521259247005,62.3929590865842,110.91430914309142,100.0
211,haryana,TOTAL,2011,733,733,255,474,490,2740,0,9.519480519480519,9.519480519480519,3.311688311688312,6.1558441558441555,6.363636363636363,35.58441558441559,0.0,5.449775746805448,25.561529271206695,2.288815478999533,61.91061426106687,98.14462416745957,4.510045100451007,100.0
227,himachal pradesh,TOTAL,2011,168,191,4,331,62,239,0,2.1818181818181817,2.4805194805194803,0.05194805194805195,4.298701298701299,0.8051948051948052,3.103896103896104,0.0,75.83142929677584,80.60334528076464,98.39546956111374,73.40171586585049,74.92863939105614,91.67076670766707,100.0
257,jammu & kashmir,TOTAL,2011,277,1023,11,1194,350,286,0,3.5974025974025974,13.285714285714286,0.14285714285714285,15.506493506493506,4.545454545454546,3.7142857142857144,0.0,60.15063044766015,3.888888888888885,95.58754129306276,4.053319467750708,41.53187440532827,90.03280032800328,100.0
