,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls,Totalcases,safety_index
1360,rajasthan,dausa,2012,14,75,19,9,0,181,0,298,40.416838839807255
1361,rajasthan,dholpur,2012,32,60,30,19,0,195,0,336,39.58296531862408
1362,rajasthan,dungarpur,2012,32,65,5,48,0,119,0,269,41.15645896210494
1363,rajasthan,g.r.p.ajmer,2012,4,5,1,13,0,0,0,23,73.43611355735557
1364,rajasthan,g.r.p.jodhpur,2012,1,0,1,2,0,0,0,4,166.09640474436816
1365,rajasthan,ganganagar,2012,77,73,21,58,2,803,0,1034,33.17277116353738
1366,rajasthan,hanumangarh,2012,92,57,19,43,0,515,0,726,34.95358802304723
1367,rajasthan,jaipur east,2012,41,55,10,24,0,201,0,331,39.685248456248665
1368,rajasthan,jaipur north,2012,37,54,13,29,0,265,0,398,38.46326824238261
1369,rajasthan,jaipur rural,2012,39,86,11,46,0,281,0,463,37.515273532098234
1370,rajasthan,jaipur south,2012,17,21,7,20,0,217,0,282,40.812176876411776
1371,rajasthan,jaipur west,2012,38,60,0,18,0,257,0,373,38.88465084504525
1372,rajasthan,jaisalmer,2012,12,5,11,20,0,22,0,70,54.19766203817945
1373,rajasthan,jalore,2012,13,39,15,40,0,138,0,245,41.85560838755916
1374,rajasthan,jhalawar,2012,81,76,5,205,2,434,0,803,34.42677895346407
1375,rajasthan,jhunjhunu,2012,45,55,17,44,0,347,0,508,36.95677633209166
1376,rajasthan,jodhpur east,2012,20,13,11,16,0,296,0,356,39.19339986260751
1377,rajasthan,jodhpur rural,2012,27,28,16,26,0,121,0,218,42.763250149612745
1378,rajasthan,jodhpur west,2012,20,23,5,27,0,5,0,80,52.54612271806533
1379,rajasthan,karauli,2012,44,77,15,7,0,196,0,339,39.52257210014642
1380,rajasthan,kota city,2012,45,62,5,73,0,428,0,613,35.87494815232379
1381,rajasthan,kota rural,2012,42,44,6,105,2,200,0,399,38.44715189682763
1382,rajasthan,nagaur,2012,53,106,11,66,0,416,0,652,35.533476212846274
1383,rajasthan,pali,2012,61,104,9,75,1,464,0,714,35.04224784083208
1384,rajasthan,pratapgarh,2012,137,78,2,79,0,276,0,572,36.26609995654933
1385,rajasthan,rajsamand,2012,14,53,5,40,1,263,0,376,38.83211867319492
1386,rajasthan,sawai madhopur,2012,19,75,6,39,0,213,0,352,39.26892780324266
1387,rajasthan,sikar,2012,55,62,18,22,0,322,0,479,37.30876209322276
1388,rajasthan,sirohi,2012,29,64,4,74,1,180,0,352,39.26892780324266
1389,rajasthan,tonk,2012,19,66,3,24,2,309,0,423,38.07579597915839
1390,rajasthan,udaipur,2012,149,163,9,174,0,499,0,994,33.362398828707256
1392,sikkim,east,2012,13,6,1,7,0,2,0,29,68.38083759938891
1393,sikkim,north,2012,0,0,0,0,0,0,0,2,332.1928094887363
1394,sikkim,south,2012,12,3,0,6,0,1,0,22,74.4921859773347
1395,sikkim,west,2012,9,1,0,6,0,1,0,17,81.2711509291959
1397,tamil nadu,ariyalur,2012,11,39,1,53,0,13,0,117,48.35155381807434
1398,tamil nadu,chennai,2012,94,65,12,90,141,237,0,639,35.64425928054874
1399,tamil nadu,chennai rly.,2012,0,2,0,5,0,2,0,9,104.79516371446924
1400,tamil nadu,coimbatore rural,2012,9,32,1,38,0,48,0,128,47.45611564124804
1401,tamil nadu,coimbatore urban,2012,20,12,0,17,2,112,0,163,45.204122742991125
1402,tamil nadu,cuddalore,2012,40,124,8,64,0,63,0,299,40.393086315990715
1403,tamil nadu,dharmapuri,2012,25,93,1,48,2,66,0,235,42.175089794430995
1404,tamil nadu,dindigul,2012,16,97,4,34,0,111,0,262,41.351340446676424
1405,tamil nadu,erode,2012,8,23,1,42,0,26,0,100,50.0
1406,tamil nadu,kanchipuram,2012,19,17,3,17,1,17,0,74,53.49791518324556
1407,tamil nadu,kanyakumari,2012,12,33,4,11,0,100,0,160,45.36958096060715
1408,tamil nadu,karur,2012,4,48,1,25,2,11,0,91,51.04537371796874
1409,tamil nadu,krishnagiri,2012,14,41,1,51,1,33,0,141,46.528527227011814
1410,tamil nadu,madurai rural,2012,30,75,11,75,4,71,0,266,41.23912626883177
1411,tamil nadu,madurai urban,2012,11,51,3,28,8,62,0,163,45.204122742991125
1412,tamil nadu,nagapattinam,2012,10,40,1,34,36,10,0,131,47.230602996026484
1413,tamil nadu,namakkal,2012,12,44,1,39,15,8,0,119,48.180071017476656
1414,tamil nadu,nilgiris,2012,9,7,1,15,2,8,0,42,61.60483210529383
1415,tamil nadu,perambalur,2012,3,31,0,22,0,6,0,62,55.79137673194251
1416,tamil nadu,pudukottai,2012,6,28,0,26,1,35,0,96,50.44718317717921
1417,tamil nadu,ramnathapuram,2012,9,35,3,15,3,18,0,83,52.108353691947315
1418,tamil nadu,salem rural,2012,36,75,1,87,0,35,0,234,42.208057863209156
1419,tamil nadu,salem urban,2012,15,18,3,12,14,21,0,83,52.108353691947315
1420,tamil nadu,sivagangai,2012,11,39,3,37,0,57,0,147,46.139989929817624
1421,tamil nadu,thanjavur,2012,14,43,1,76,0,28,0,162,45.25880084173133
1422,tamil nadu,theni,2012,22,40,5,50,0,63,0,180,44.34053967922575
1423,tamil nadu,thirunelveli rural,2012,44,43,3,58,0,266,0,414,38.21168779717032
1424,tamil nadu,thirunelveli urban,2012,3,3,2,6,0,25,0,39,62.85099898418801
1425,tamil nadu,thiruvallur,2012,18,12,5,8,1,19,0,63,55.57591642691969
1426,tamil nadu,thiruvannamalai,2012,21,52,1,8,0,37,0,119,48.180071017476656
